no	departure_id	arrival_id	room	price
1	1	2	특실	10900 
2	1	3	특실	11200 
3	1	4	특실	16400 
4	1	5	특실	23300 
5	1	6	특실	29100 
6	1	7	특실	43900 
7	1	8	특실	54200 
8	1	9	특실	61900 
9	1	10	특실	67900 
10	1	11	특실	76300 
11	1	2	일반실	7500 
12	2	3	특실	10900 
13	2	4	특실	10900 
14	2	5	특실	15500 
15	2	6	특실	22300 
16	2	7	특실	37300 
17	2	8	특실	47600 
18	2	9	특실	55400 
19	2	10	특실	61000 
20	2	11	특실	69700 
21	1	3	일반실	7700 
22	2	3	일반실	7500 
23	3	4	특실	10900 
24	3	5	특실	11200 
25	3	6	특실	18000 
26	3	7	특실	33100 
27	3	8	특실	43200 
28	3	9	특실	51200 
29	3	10	특실	56800 
30	3	11	특실	65400 
31	1	4	일반실	11300 
32	2	4	일반실	7500 
33	3	4	일반실	7500 
34	4	5	특실	10900 
35	4	6	특실	12800 
36	4	7	특실	27800 
37	4	8	특실	38100 
38	4	9	특실	46100 
39	4	10	특실	51800 
40	4	11	특실	60300 
41	1	5	일반실	15400 
42	2	5	일반실	10700 
43	3	5	일반실	7700 
44	4	5	일반실	7500 
45	5	6	특실	10900 
46	5	7	특실	21900 
47	5	8	특실	32300 
48	5	9	특실	40200 
49	5	10	특실	46000 
50	5	11	특실	54700 
51	1	6	일반실	20100 
52	2	6	일반실	15400 
53	3	6	일반실	12400 
54	4	6	일반실	8800 
55	5	6	일반실	7500 
56	6	7	특실	15100 
57	6	8	특실	25500 
58	6	9	특실	33500 
59	6	10	특실	39300 
60	6	11	특실	47900 
61	1	7	일반실	30300 
62	2	7	일반실	25700 
63	3	7	일반실	22800 
64	4	7	일반실	19200 
65	5	7	일반실	15100 
66	6	7	일반실	10400 
67	7	8	특실	10900 
68	7	9	특실	18600 
69	7	10	특실	24200 
70	7	11	특실	33100 
71	1	8	일반실	37400 
72	2	8	일반실	32800 
73	3	8	일반실	29800 
74	4	8	일반실	26300 
75	5	8	일반실	22300 
76	6	8	일반실	17600 
77	7	8	일반실	7500 
78	8	9	특실	10900 
79	8	10	특실	13800 
80	8	11	특실	22600 
81	9	1	특실	42700 
82	9	2	특실	38200 
83	3	9	일반실	35300 
84	4	9	일반실	31800 
85	5	9	일반실	27700 
86	6	9	일반실	23100 
87	7	9	일반실	12800 
88	8	9	일반실	7500 
89	9	10	특실	10900 
90	9	11	특실	14600 
91	1	10	일반실	46800 
92	2	10	일반실	42100 
93	3	10	일반실	39200 
94	4	10	일반실	35700 
95	5	10	일반실	31700 
96	6	10	일반실	27100 
97	7	10	일반실	16700 
98	8	10	일반실	9500 
99	9	10	일반실	7500 
100	10	11	특실	10900 
101	1	11	일반실	52600 
102	2	11	일반실	48100 
103	3	11	일반실	45100 
104	4	11	일반실	41600 
105	5	11	일반실	37700 
106	6	11	일반실	33000 
107	7	11	일반실	22800 
108	8	11	일반실	15600 
109	9	11	일반실	10100 
110	10	11	일반실	7500 
111	1	12	특실	31300 
112	1	13	특실	40600 
113	1	14	특실	49200 
114	1	15	특실	59000 
115	1	16	특실	61000 
116	1	17	특실	67400 
117	2	12	특실	24700 
118	2	13	특실	34100 
119	2	14	특실	42500 
120	2	15	특실	52500 
121	2	16	특실	54500 
122	2	17	특실	61000 
123	3	12	특실	20300 
124	3	13	특실	29600 
125	3	14	특실	38300 
126	3	15	특실	48300 
127	3	16	특실	50300 
128	3	17	특실	56700 
129	4	12	특실	15100 
130	4	13	특실	24500 
131	4	14	특실	33100 
132	4	15	특실	43200 
133	4	16	특실	45100 
134	4	17	특실	51600 
135	5	12	특실	10900 
136	5	13	특실	18600 
137	5	14	특실	27100 
138	5	15	특실	37100 
139	5	16	특실	39300 
140	5	17	특실	45800 
141	1	12	일반실	21600 
142	2	12	일반실	17000 
143	3	12	일반실	14000 
144	4	12	일반실	10400 
145	5	12	일반실	7500 
146	12	13	특실	10900 
147	12	14	특실	18000 
148	12	15	특실	28100 
149	12	16	특실	30300 
150	12	17	특실	36800 
151	1	13	일반실	28000 
152	2	13	일반실	23500 
153	3	13	일반실	20400 
154	4	13	일반실	16900 
155	5	13	일반실	12800 
156	12	13	일반실	7500 
157	13	14	특실	10900 
158	13	15	특실	18900 
159	13	16	특실	20900 
160	13	17	특실	27700 
161	1	14	일반실	33900 
162	2	14	일반실	29300 
163	3	14	일반실	26400 
164	4	14	일반실	22800 
165	5	14	일반실	18700 
166	12	14	일반실	12400 
167	13	14	일반실	7500 
168	14	15	특실	10900 
169	14	16	특실	12200 
170	14	17	특실	18900 
171	1	15	일반실	40700 
172	2	15	일반실	36200 
173	3	15	일반실	33300 
174	4	15	일반실	29800 
175	5	15	일반실	25600 
176	12	15	일반실	19400 
177	13	15	일반실	13000 
178	14	15	일반실	7500 
179	15	16	특실	10900 
180	15	17	특실	10900 
181	1	16	일반실	42100 
182	2	16	일반실	37600 
183	3	16	일반실	34700 
184	4	16	일반실	31100 
185	5	16	일반실	27100 
186	12	16	일반실	10900 
187	13	16	일반실	24400 
188	14	16	일반실	8400 
189	15	16	일반실	7500 
190	16	17	특실	10900 
191	1	17	일반실	46500 
192	2	17	일반실	42100 
193	3	17	일반실	39100 
194	4	17	일반실	35600 
195	5	17	일반실	31600 
196	12	17	일반실	25400 
197	13	17	일반실	19100 
198	14	17	일반실	13000 
199	15	17	일반실	7500 
200	16	17	일반실	7500
