no	name	station_no
1	경부선 하행	1
2	경부선 하행	2
3	경부선 하행	3
4	경부선 하행	4
5	경부선 하행	5
6	경부선 하행	6
7	경부선 하행	7
8	경부선 하행	8
9	경부선 하행	9
10	경부선 하행	10
11	경부선 하행	11
12	경부선 상행	11
13	경부선 상행	10
14	경부선 상행	9
15	경부선 상행	8
16	경부선 상행	7
17	경부선 상행	6
18	경부선 상행	5
19	경부선 상행	4
20	경부선 상행	3
21	경부선 상행	2
22	경부선 상행	1
23	호남선 하행	1
24	호남선 하행	2
25	호남선 하행	3
26	호남선 하행	4
27	호남선 하행	5
28	호남선 하행	12
29	호남선 하행	13
30	호남선 하행	14
31	호남선 하행	15
32	호남선 하행	16
33	호남선 하행	17
34	호남선 상행	17
35	호남선 상행	16
36	호남선 상행	15
37	호남선 상행	14
38	호남선 상행	13
39	호남선 상행	12
40	호남선 상행	5
41	호남선 상행	4
42	호남선 상행	3
43	호남선 상행	2
44	호남선 상행	1
