예약일	버스코드	버스번호	좌석	회원아이디	가격	발권상태
2017-03-08	A007	1호차	11	user01	17000	○
2017-03-08	A004	1호차	19	user03	23000	○
2017-03-08	A006	1호차	4	비회원	17000	○
2017-03-09	A003	2호차	8	user04	23000	○
2017-03-09	A008	2호차	7	user09	17000	○
2017-03-09	A008	2호차	14	user10	17000	○
2017-03-10	A003	2호차	8	비회원	23000	○
2017-03-10	A007	2호차	19	user05	17000	○
2017-03-10	A006	1호차	19	비회원	17000	○
2017-03-11	A003	2호차	12	user08	23000	○
2017-03-11	A002	1호차	10	비회원	23000	○
2017-03-11	A007	2호차	14	user07	17000	○
2017-03-12	A004	2호차	17	user01	23000	○
2017-03-12	A005	2호차	17	user03	23000	○
2017-03-12	A004	2호차	14	비회원	23000	○
2017-03-13	A003	1호차	20	user04	23000	○
2017-03-13	A009	1호차	16	user09	17000	○
2017-03-13	A004	2호차	5	user10	23000	○
2017-03-14	A007	1호차	4	비회원	17000	○
2017-03-14	A007	2호차	6	user05	17000	○
2017-03-13	A003	1호차	6	비회원	23000	○
2017-03-14	A008	1호차	15	user08	17000	○
2017-03-14	A003	2호차	15	비회원	23000	○
2017-03-14	A005	1호차	18	user07	23000	○
2017-03-15	A007	2호차	10	user02	17000	○
2017-03-15	A004	2호차	13	user01	23000	○
2017-03-15	A006	2호차	6	user03	17000	○
2017-03-16	A004	2호차	19	비회원	23000	Ⅹ
2017-03-16	A006	2호차	8	user04	17000	Ⅹ
2017-03-16	A001	2호차	4	user09	23000	Ⅹ
2017-03-17	A006	2호차	9	user10	17000	Ⅹ
2017-03-17	A005	2호차	14	비회원	23000	Ⅹ
2017-03-17	A002	2호차	14	user05	23000	Ⅹ
2017-03-18	A004	1호차	19	비회원	23000	Ⅹ
2017-03-18	A008	2호차	9	user08	17000	Ⅹ
2017-03-18	A008	1호차	20	비회원	17000	Ⅹ
2017-03-19	A007	1호차	18	user07	17000	Ⅹ
2017-03-19	A005	1호차	8	user01	23000	Ⅹ
2017-03-19	A009	2호차	20	user03	17000	Ⅹ
2017-03-20	A008	2호차	3	비회원	17000	Ⅹ
2017-03-20	A008	1호차	13	user04	17000	Ⅹ
2017-03-20	A009	1호차	14	user09	17000	Ⅹ
2017-03-21	A007	2호차	11	user10	17000	Ⅹ
2017-03-21	A007	2호차	9	비회원	17000	Ⅹ
2017-03-21	A008	2호차	20	user05	17000	Ⅹ
2017-03-22	A001	2호차	7	비회원	23000	Ⅹ
2017-03-22	A003	1호차	20	user08	23000	Ⅹ
2017-03-22	A005	1호차	3	비회원	23000	Ⅹ
2017-03-23	A008	2호차	16	user07	17000	Ⅹ
2017-03-23	A001	1호차	14	user02	23000	Ⅹ
2017-03-23	A002	1호차	7	비회원	23000	Ⅹ
2017-03-24	A006	2호차	5	user06	17000	Ⅹ
2017-03-24	A006	2호차	11	user01	17000	Ⅹ
2017-03-24	A001	2호차	14	user01	23000	Ⅹ
2017-03-25	A009	2호차	9	user02	17000	Ⅹ
