Air_code	Rend	Country	Departure	Arrive	Air	Type	StartTime	LastTime	Fare
1	국제선	일본	인천	나리타	7C1102	B738	8:30:00	10:50:00	633700
2	국제선	일본	인천	나리타	7C1104	B738	15:05:00	17:30:00	633700
3	국제선	일본	인천	나리타	7C1106	B738	10:35:00	12:55:00	633700
4	국제선	일본	인천	나리타	7C1162	B738	7:15:00	9:50:00	633700
5	국제선	일본	인천	나리타	7C1162	B738	0:00:00	0:00:00	633700
6	국제선	일본	나리타	인천	7C1101	B738	11:50:00	14:30:00	633700
7	국제선	일본	나리타	인천	7C1103	B738	18:30:00	21:10:00	633700
8	국제선	일본	나리타	인천	7C1105	B738	13:55:00	16:35:00	633700
9	국제선	일본	나리타	인천	7C1161	B738	11:00:00	13:40:00	633700
10	국제선	일본	나리타	인천	7C1161	B738	0:00:00	0:00:00	633700
11	국제선	일본	나리타	인천	7C1161	B738	0:00:00	0:00:00	633700
12	국제선	일본	인천	오사카	7C1302	B738	9:10:00	11:00:00	608900
13	국제선	일본	인천	오사카	7C1304	B738	7:10:00	9:00:00	608900
14	국제선	일본	인천	오사카	7C1306	B738	17:00:00	18:50:00	608900
15	국제선	일본	인천	오사카	7C1308	B738	13:25:00	15:15:00	608900
16	국제선	일본	인천	오사카	7C1308	B738	13:35:00	15:15:00	608900
17	국제선	일본	인천	오사카	7C1308	B738	13:25:00	15:15:00	608900
18	국제선	일본	인천	오사카	7C1308	B738	13:35:00	15:15:00	608900
19	국제선	일본	오사카	인천	7C1301	B738	11:50:00	13:50:00	608900
20	국제선	일본	오사카	인천	7C1303	B738	9:50:00	11:50:00	608900
21	국제선	일본	오사카	인천	7C1305	B738	19:40:00	21:40:00	608900
22	국제선	일본	오사카	인천	7C1307	B738	17:30:00	19:30:00	608900
23	국제선	일본	오사카	인천	7C1307	B738	18:05:00	20:05:00	608900
24	국제선	일본	김포	오사카	7C1382	B738	8:20:00	10:00:00	608900
25	국제선	일본	오사카	김포	7C1384	B738	14:00:00	15:40:00	608900
26	국제선	일본	오사카	김포	7C1381	B738	10:50:00	12:45:00	608900
27	국제선	일본	오사카	김포	7C1383	B738	16:30:00	18:25:00	608900
28	국제선	일본	인천	나고야	7C1602	B738	11:10:00	13:00:00	604100
29	국제선	일본	인천	나고야	7C1604	B738	0:00:00	0:00:00	604100
30	국제선	일본	인천	나고야	7C1604	B738	0:00:00	0:00:00	604100
31	국제선	일본	인천	나고야	7C1608	B738	18:00:00	19:50:00	604100
32	국제선	일본	나고야	인천	7C1601	B738	13:50:00	16:00:00	604100
33	국제선	일본	나고야	인천	7C1601	B738	13:50:00	15:50:00	604100
34	국제선	일본	나고야	인천	7C1603	B738	0:00:00	0:00:00	604100
35	국제선	일본	나고야	인천	7C1603	B738	0:00:00	0:00:00	604100
36	국제선	일본	나고야	인천	7C1607	B738	8:00:00	10:15:00	604100
37	국제선	일본	인천	후쿠오카	7C1402	B738	9:35:00	10:55:00	467900
38	국제선	일본	인천	후쿠오카	7C1404	B738	15:30:00	16:45:00	467900
39	국제선	일본	인천	후쿠오카	7C1406	B738	15:35:00	16:50:00	467900
40	국제선	일본	인천	후쿠오카	7C1406	B738	15:25:00	16:50:00	467900
41	국제선	일본	인천	후쿠오카	7C1406	B738	15:25:00	16:50:00	467900
42	국제선	일본	인천	후쿠오카	7C1406	B738	15:35:00	16:50:00	467900
43	국제선	일본	후쿠오카	인천	7C1401	B738	12:45:00	14:10:00	467900
44	국제선	일본	후쿠오카	인천	7C1403	B738	17:35:00	19:05:00	467900
45	국제선	일본	후쿠오카	인천	7C1405	B738	17:40:00	19:10:00	467900
46	국제선	일본	후쿠오카	인천	7C1405	B738	17:40:00	19:35:00	467900
47	국제선	일본	후쿠오카	인천	7C1405	B738	17:40:00	20:35:00	467900
48	국제선	일본	후쿠오카	인천	7C1405	B738	17:40:00	20:35:00	467900
49	국제선	일본	후쿠오카	인천	7C1405	B738	17:40:00	20:30:00	467900
50	국제선	중화권	인천	홍콩	7C2101	B738	9:55:00	12:35:00	914900
51	국제선	중화권	인천	홍콩	7C2107	B738	21:40:00	1:25:00	914900
52	국제선	중화권	홍콩	인천	7C2102	B738	13:35:00	18:15:00	914900
53	국제선	중화권	홍콩	인천	7C2108	B738	1:25:00	6:05:00	914900
54	국제선	동남아	인천	방콕	7C2203	B738	19:30:00	23:45:00	954600
55	국제선	동남아	인천	방콕	7C2205	B738	20:40:00	1:35:00	954600
56	국제선	동남아	방콕	인천	7C2204	B738	1:00:00	8:40:00	954600
57	국제선	동남아	방콕	인천	7C2206	B738	1:35:00	9:10:00	954600
58	국제선	동남아	부산	방콕	7C2251	B738	20:25:00	23:45:00	949600
59	국제선	동남아	방콕	부산	7C2252	B738	0:50:00	8:10:00	949600
60	국제선	동남아	인천	마닐라	7C2305	B738	19:35:00	22:40:00	840500
61	국제선	동남아	마닐라	인천	7C2306	B738	23:55:00	4:50:00	840500
62	국제선	동남아	인천	세부	7C2405	B738	20:50:00	0:00:00	928000
63	국제선	동남아	인천	세부	7C2461	B738	10:45:00	14:10:00	928000
64	국제선	동남아	세부	인천	7C2406	B738	1:20:00	6:50:00	928000
65	국제선	동남아	세부	인천	7C2462	B738	15:05:00	20:35:00	928000
66	국제선	동남아	세부	인천	7C2462	B738	15:05:00	21:35:00	928000
67	국제선	대양주	인천	괌	7C3102	B738	10:35:00	16:05:00	886800
68	국제선	대양주	인천	괌	7C3106	B738	20:20:00	2:00:00	886800
69	국제선	대양주	괌	인천	7C3101	B738	17:10:00	21:00:00	886800
70	국제선	대양주	괌	인천	7C3105	B738	3:05:00	6:55:00	886800
71	국제선	대양주	인천	사이판	7C3402	B738	9:30:00	15:00:00	877400
72	국제선	대양주	인천	사이판	7C3404	B738	22:10:00	3:40:00	877400
73	국제선	대양주	사이판	인천	7C3401	B738	16:00:00	19:45:00	877400
74	국제선	대양주	사이판	인천	7C3403	B738	4:45:00	8:30:00	877400
75	국제선	일본	인천	오키나와	7C1802	B738	13:30:00	15:45:00	768200
76	국제선	일본	오키나와	인천	7C1801	B738	16:35:00	18:55:00	768200
77	국제선	동남아	인천	하노이	7C2803	B738	21:10:00	23:45:00	957900
78	국제선	동남아	하노이	인천	7C2804	B738	1:20:00	7:25:00	957900
79	국제선	동남아	하노이	인천	7C2804	B738	1:15:00	7:25:00	957900
80	국제선	동남아	인천	다낭	7C2903	B738	21:20:00	0:00:00	947800
81	국제선	동남아	인천	다낭	7C2961	B738	22:20:00	1:00:00	947800
82	국제선	동남아	인천	다낭	7C2963	B738	10:40:00	13:20:00	947800
83	국제선	동남아	다낭	인천	7C2904	B738	1:30:00	7:30:00	947800
84	국제선	동남아	다낭	인천	7C2904	B738	1:30:00	7:50:00	947800
85	국제선	동남아	다낭	인천	7C2962	B738	2:30:00	9:15:00	947800
86	국제선	동남아	다낭	인천	7C2964	B738	15:10:00	21:35:00	947800
87	국제선	대양주	부산	괌	7C3154	B738	22:05:00	3:05:00	881800
88	국제선	대양주	괌	부산	7C3153	B738	4:00:00	7:10:00	881800
89	국제선	일본	부산	오사카	7C1352	B738	8:20:00	9:45:00	523900
90	국제선	일본	부산	오사카	7C1354	B738	17:00:00	18:25:00	523900
91	국제선	일본	오사카	부산	7C1351	B738	10:35:00	12:05:00	523900
92	국제선	일본	오사카	부산	7C1353	B738	19:30:00	21:05:00	523900
93	국제선	일본	부산	후쿠오카	7C1454	B738	13:15:00	14:05:00	382900
94	국제선	일본	부산	후쿠오카	7C1452	B738	7:15:00	8:05:00	382900
95	국제선	일본	부산	후쿠오카	7C1452	B738	7:15:00	8:05:00	382900
