music_no	title	singer	genre	date
1	27.28	다화	Folk	2018-06-15
2	2411	크러쉬	R&B/Soul	2016-10-14
3	8282	다비치	댄스	2018-02-22
4	#with_you	예울	록/메탈	2017-11-03
5	1분 1초	프라이머리	랩/힙합	2018-05-10
6	ABRACADABRA	브라운아이드걸스	댄스	2018-04-24
7	Alone Trip	LadLit.	R&B/Soul	2018-06-17
8	BAD GIRL GOOD GIRL	미쓰에이	댄스	2018-04-18
9	BALLERINO	박재범	랩/힙합	2015-09-24
10	Beautiful	10cm	Folk	2011-02-10
11	Blue	백예린	R&B/Soul	2015-11-29
12	Calling You	로라	발라드	2018-04-26
13	Catch Me	Lazy	록/메탈	2018-05-03
14	CLOVER	용국	R&B/Soul	2018-06-18
15	DOC와 춤을	로꼬	랩/힙합	2014-03-19
16	Dream	케이시	R&B/Soul	2017-01-26
17	Eleven	Sunday Moon	인디음악	2018-03-25
18	FICTION	비스트	댄스	2018-04-21
19	FLY	싸이	랩/힙합	2012-07-15
20	For You	디션	댄스	2018-04-13
21	GEE	소녀시대	댄스	2018-04-17
22	GIVE IT TO ME	씨스타	댄스	2018-01-24
23	GO AWAY	2NE1	댄스	2018-04-19
24	HEARTBREAKER	G-DRAGON	댄스	2018-04-22
25	HIGH HIGH	태리	랩/힙합	2018-05-15
26	Humming	고나영	R&B/Soul	2018-06-14
27	I GO	송희란	인디음악	2018-04-27
28	I'll be There	김기미	랩/힙합	2018-05-03
29	I'm Ready	장수빈	R&B/Soul	2018-06-15
30	Kiss	Youngje	R&B/Soul	2018-06-15
31	Lemon Tree	박혜경	록/메탈	2017-07-05
32	Locked In You	NUMBLACK	R&B/Soul	2018-06-14
33	Love Blossom	케이윌	발라드	2018-04-26
34	Maria	김아중	록/메탈	2018-01-31
35	Night	Kidult	R&B/Soul	2018-06-18
36	NO.1	보아	댄스	2018-04-27
37	NOBODY	원더걸스	댄스	2018-04-28
38	OH	소녀시대	댄스	2018-04-30
39	ON MY WAY	배치기	랩/힙합	2018-05-04
40	POISION	엄정화	댄스	2018-04-20
41	PROMISE	포에버	록/메탈	2018-03-26
42	Raise Me Up	이홍기	발라드	2018-04-19
43	RING MY BELL	프라이머리	랩/힙합	2012-10-31
44	ROLY-POLY	티아라	댄스	2018-04-29
45	Rose	이하이	R&B/Soul	2013-03-28
46	Shall we dance	심신	발라드	2018-03-30
47	SKIP	한상원	R&B/Soul	2016-08-24
48	SOLO	4minute	랩/힙합	2015-02-09
49	STAY COOL	방탄소년단	랩/힙합	2017-02-13
50	Sunset	김아름	댄스	2018-04-15
51	Sweetune	르씨엘	록/메탈	2017-08-11
52	tape back	귀도	R&B/Soul	2018-06-15
53	TEARS	소찬휘	댄스	2018-04-16
54	Today	류준영	Folk	2018-06-11
55	Touch	Highend	R&B/Soul	2018-06-17
56	VAPORMAX	SPACE ONE	댄스	2018-03-20
57	wake	케이윌	R&B/Soul	2018-05-10
58	WHAT IS LOVE	TWICE	댄스	2018-04-09
59	With Me	휘성	R&B/Soul	2003-08-21
60	Woo	Bay P	인디음악	2018-04-21
61	YOOHOO	시크릿	댄스	2018-04-26
62	You Know	DAMO	R&B/Soul	2018-06-16
63	YOU KNOW ME	Gold	랩/힙합	2018-06-15
64	가고 싶은 그곳	번개소리사	Folk	2018-06-14
65	가수가 된 이유	신용재	발라드	2018-05-02
66	가슴 시린 이야기	휘성	발라드	2018-04-09
67	가슴앓이	한마음	Folk	2000-11-01
68	감아	iKON	랩/힙합	2018-01-25
69	강남스타일	크루셜스타	랩/힙합	2018-05-30
70	개똥벌레	신형원	Folk	2000-09-05
