순번	유저번호	영화제목	상영관번호	좌석번호	상영일	영화시작시간	금액
1	2	신비한 동물사전	6	B1	2020-11-15	8:00	7200
2	2	신비한 동물사전	6	B2	2020-11-15	8:00	7200
3	2	신비한 동물사전	6	B3	2020-11-15	8:00	7200
4	1	암살	1	E1	2020-12-01	8:00	6750
5	1	암살	1	E2	2020-12-01	8:00	6750
6	1	암살	1	E3	2020-12-01	8:00	6750
7	4	라라랜드	3	E3	2020-12-01	16:00	8100
8	4	라라랜드	3	E4	2020-12-01	16:00	8100
9	4	라라랜드	3	E5	2020-12-01	16:00	8100
10	4	라라랜드	3	E6	2020-12-01	16:00	8100
11	6	암살	1	E3	2020-12-01	18:00	5100
12	6	암살	1	E4	2020-12-01	18:00	5100
13	7	스토커	7	A2	2020-12-01	12:00	13500
14	7	라라랜드	3	E9	2020-12-01	20:00	8100
15	7	라라랜드	3	E10	2020-12-01	20:00	8100
16	9	핸즈 오브 스톤	1	A2	2020-12-01	14:00	9000
17	9	핸즈 오브 스톤	1	A3	2020-12-01	14:00	9000
18	10	미씽	7	D2	2020-12-01	0:00	13500
19	10	미씽	7	D3	2020-12-01	0:00	13500
20	5	신비한 동물사전	6	A6	2020-12-02	22:00	12000
21	5	신비한 동물사전	6	A7	2020-12-02	22:00	12000
22	5	신비한 동물사전	6	A8	2020-12-02	22:00	12000
23	6	미씽	7	F1	2020-12-02	16:00	10200
24	6	미씽	7	F2	2020-12-02	16:00	10200
25	6	미씽	7	F3	2020-12-02	16:00	10200
26	6	미씽	7	F4	2020-12-02	16:00	10200
27	6	미씽	7	F5	2020-12-02	16:00	10200
28	8	스토커	7	G1	2020-12-02	20:00	15000
29	8	스토커	7	G2	2020-12-02	20:00	15000
30	8	스토커	7	G3	2020-12-02	20:00	15000
31	8	아가씨	5	G5	2020-12-02	20:00	9000
32	10	그래비티	3	A4	2020-12-02	14:00	8100
33	10	그래비티	3	A5	2020-12-02	14:00	8100
34	10	그래비티	3	B4	2020-12-02	14:00	8100
35	10	그래비티	3	B5	2020-12-02	14:00	8100
36	3	핸즈 오브 스톤	1	C3	2020-12-03	10:00	6000
37	3	신비한 동물사전	6	D4	2020-12-03	14:00	9000
38	3	신비한 동물사전	6	D5	2020-12-03	14:00	9000
39	3	신비한 동물사전	6	D6	2020-12-03	14:00	9000
40	3	라라랜드	3	H5	2020-12-03	20:00	6000
41	3	라라랜드	3	H6	2020-12-03	20:00	6000
