No	music_no	member_no	date	amount
1	34	1	2019-04-03	10
2	118	1	2018-06-13	7
3	318	1	2018-05-16	10
4	47	1	2019-02-20	5
5	212	1	2018-11-09	7
6	174	1	2018-10-06	2
7	207	1	2018-05-14	5
8	149	1	2018-06-12	5
9	292	1	2018-07-17	4
10	136	1	2019-02-24	4
11	43	1	2019-04-14	6
12	120	1	2019-02-20	4
13	166	1	2019-01-30	9
14	262	1	2018-09-15	4
15	203	1	2018-05-26	3
16	19	1	2018-11-01	3
17	195	1	2018-06-23	5
18	138	1	2019-05-12	3
19	273	1	2019-03-21	10
20	106	1	2018-10-07	1
21	275	1	2018-08-28	3
22	58	1	2018-07-04	9
23	99	1	2019-01-18	8
24	225	1	2018-08-03	4
25	224	1	2019-02-26	2
26	71	1	2018-05-21	3
27	123	1	2019-04-20	3
28	200	1	2018-09-20	7
29	219	1	2018-06-11	1
30	214	1	2018-11-04	1
31	104	1	2019-03-24	7
32	265	1	2018-12-23	7
33	283	1	2019-04-01	5
34	23	1	2019-03-27	10
35	285	1	2019-02-02	5
36	114	1	2019-04-13	3
37	22	1	2018-06-09	4
38	128	1	2018-11-29	10
39	63	1	2018-07-29	4
40	255	1	2018-09-28	10
41	29	1	2018-04-28	3
42	169	1	2018-04-27	7
43	131	1	2018-12-12	10
44	113	1	2018-05-03	2
45	101	1	2018-07-12	5
46	300	1	2018-07-20	5
47	248	1	2018-09-07	3
48	247	1	2018-09-24	4
49	232	1	2018-05-11	8
50	56	1	2018-06-02	3
51	202	1	2019-05-01	3
52	211	1	2019-05-20	10
53	64	1	2018-08-31	2
54	218	1	2019-02-17	3
55	102	1	2018-10-16	7
56	21	1	2019-03-08	3
57	244	1	2018-09-07	10
58	122	1	2018-09-22	1
59	20	1	2018-10-09	2
60	140	1	2019-02-19	7
61	164	1	2018-12-29	3
62	250	1	2018-06-03	4
63	51	1	2019-02-02	10
64	233	1	2018-04-22	8
65	209	1	2018-05-31	8
66	269	1	2018-09-13	5
67	39	1	2019-04-06	9
68	153	1	2018-09-05	10
69	92	1	2018-09-22	10
70	294	1	2018-12-25	8
71	191	1	2019-02-27	2
72	278	1	2018-11-20	6
73	297	1	2018-09-29	7
74	60	1	2019-05-23	8
75	36	1	2018-05-18	7
76	199	1	2018-12-09	5
77	296	1	2018-10-29	7
78	12	1	2018-12-10	2
