No	music_no	member_no	rating
1	1	19	앵앵거린다
2	1	12	귀호강
3	1	9	목소리가 사기야…
4	1	1	오랜만에 제대로 된 곡인 듯
5	1	21	
6	1	36	
7	1	29	
8	2	24	
9	2	38	너무 지루해요
10	2	5	
11	2	29	
12	2	36	
13	2	14	
14	2	31	우울할때 듣기 좋다
15	2	19	
16	2	32	
17	2	3	
18	3	3	
19	3	2	
20	3	5	
21	3	38	
22	3	11	짱짱
23	3	9	
24	3	1	
25	4	10	
26	4	28	
27	4	13	
28	4	4	
29	5	21	윗분 귀가 이상한거 같네요
30	5	24	
31	5	20	
32	5	7	
33	5	39	
34	5	5	내 마음 대신 말해주는 노래
35	5	22	
36	5	2	
37	6	10	
38	6	23	하루에 10번은 넘게 듣는듯
39	6	27	
40	6	37	
41	6	4	
42	6	5	지금도 듣고 있는데 너무 좋은것 같아요
43	6	11	
44	6	40	귀정화하고 갑니다.
45	6	38	
46	7	13	고음 진짜 깔끔하다 bb
47	7	23	
48	7	36	
49	7	11	
50	7	9	
51	8	26	
52	8	21	
53	8	20	
54	8	30	
55	8	40	
56	8	35	한마디로 완벽하다
57	8	34	
58	8	25	
59	8	17	
60	9	26	긍정적이다
61	9	14	
62	9	30	
63	9	8	
64	9	3	완벽하다
65	9	31	
66	10	29	
67	10	19	첫눈이 오는 날 듣고 싶어지는 노래
68	10	13	
69	10	18	
70	10	36	
71	10	8	광고로 나와도 나올때마다 다 들어줄수 있을듯
72	10	38	
73	10	17	자신감이 솟구친다
74	11	24	
75	11	7	
76	11	1	진짜 명곡
77	11	32	
78	11	9	멜론1위 가자
79	11	21	
80	11	30	여기 외국인도 꽤 있네요 자랑스럽습니다.
81	12	15	
82	12	13	
83	12	30	
84	12	40	노래 끝판왕
85	12	6	
86	12	27	눈물이 날거 같다
87	12	26	
88	13	30	
89	13	2	
90	13	1	
91	13	6	
92	13	26	세상에 이런 노래가 또 있을까?
93	13	27	이거 잘부르면 인싸임
94	13	10	
95	14	3	
96	14	25	목소리때문에 듣는다
97	14	4	
98	14	1	
99	14	39	내가 더 잘부를거 같다
100	14	24	이분은 노래 접으셔야 할 것 같다
101	15	34	
102	15	7	
103	15	23	
104	15	37	
105	15	28	
106	16	30	
107	16	17	I love it.
108	16	13	슬퍼요
109	16	6	
110	16	10	
111	16	22	사겼던사람이 그리워져요
112	16	35	
113	17	23	기분이 업되는듯
114	17	18	
115	17	39	
116	17	29	
117	17	38	
118	18	3	
119	18	23	
120	18	37	댄스음악이 이렇게 좋을 수 있네요
121	18	4	
122	18	20	
123	19	22	
124	19	20	
125	19	30	
126	19	16	
127	19	39	따뜻하다
128	19	36	
129	19	15	최고다 진짜
130	19	28	헤어질때 들으면 좋은거 같아요
131	20	7	노래 진짜 인생곡
132	20	22	
133	20	4	재밌다
134	20	9	다른 노래에비해 좀 떨어지는듯
135	20	26	
136	20	18	
137	21	8	공부하면서 들으면 집중 안됨
138	21	29	목소리 너무 좋다 
139	21	4	
140	22	11	가사가 진짜 너무 미쳤어..
141	22	34	
142	22	1	가사는 슬픈데 노래는 신남
143	22	12	
144	22	15	
145	23	19	
146	23	9	이건 절대 못잊힐듯
147	23	3	
148	23	2	진짜 소름돋게 잘한다
149	23	34	
150	23	6	
151	23	29	쓰담쓰담 해주는 노래
152	23	1	
153	23	36	진심 최고다
154	24	16	
155	24	30	
156	24	38	
157	24	22	가뭄의 단비 같은 노래
158	24	25	
159	25	14	길가면서 흥얼거렸어요
160	25	22	
161	25	19	
162	25	23	계속 흥얼거리게 된다
163	25	15	
164	25	25	
165	25	29	
166	26	40	혼자 이어폰끼고 들어야한다
167	26	10	
168	26	1	길가다 중얼거리게 됨
169	26	23	
