상영관번호	영화번호	상영시작일	상영종료일	영화시작시간
1	A1	2020-11-01	2020-12-31	0:00
1	A1	2020-11-01	2020-12-31	8:00
1	A1	2020-11-01	2020-12-31	12:00
1	A1	2020-11-01	2020-12-31	18:00
1	A2	2020-12-01	2021-01-31	10:00
1	A2	2020-12-01	2021-01-31	14:00
1	A2	2020-12-01	2021-01-31	20:00
2	C1	2020-11-01	2020-12-31	8:00
2	C1	2020-11-01	2020-12-31	10:00
2	C1	2020-11-01	2020-12-31	12:00
2	C2	2020-12-01	2020-12-31	16:00
2	C2	2020-12-01	2020-12-31	18:00
2	C3	2020-12-01	2020-12-31	0:00
2	C3	2020-12-01	2020-12-31	14:00
3	D1	2020-12-01	2020-12-31	8:00
3	D1	2020-12-01	2020-12-31	10:00
3	D1	2020-12-01	2020-12-31	14:00
3	D2	2020-11-01	2021-01-31	0:00
3	D2	2020-11-01	2021-01-31	16:00
3	D2	2020-11-01	2021-01-31	20:00
4	D3	2020-12-01	2020-12-31	6:00
4	D3	2020-12-01	2020-12-31	12:00
4	D3	2020-12-01	2020-12-31	16:00
4	D3	2020-12-01	2020-12-31	18:00
5	D4	2020-12-01	2020-12-31	12:00
5	D4	2020-12-01	2020-12-31	14:00
5	D4	2020-12-01	2020-12-31	16:00
5	D4	2020-12-01	2020-12-31	18:00
5	D4	2020-12-01	2020-12-31	20:00
5	D4	2020-12-01	2020-12-31	0:00
6	F1	2020-11-01	2020-12-31	0:00
6	F1	2020-11-01	2020-12-31	8:00
6	F1	2020-11-01	2020-12-31	12:00
6	F1	2020-11-01	2020-12-31	14:00
6	F1	2020-11-01	2020-12-31	18:00
6	F1	2020-11-01	2020-12-31	22:00
8	H1	2021-01-01	2021-01-31	8:00
7	H1	2020-12-01	2020-12-31	12:00
7	H1	2020-12-01	2021-01-01	14:00
7	H1	2020-12-01	2021-01-02	20:00
8	H1	2021-01-01	2021-01-31	12:00
8	H1	2021-01-01	2021-01-31	16:00
7	M1	2020-12-01	2020-12-31	0:00
7	M1	2020-12-01	2020-12-31	10:00
7	M1	2020-12-01	2020-12-31	16:00
8	M1	2021-01-01	2021-01-31	18:00
8	M1	2021-01-01	2021-01-31	0:00
8	M1	2021-01-01	2021-01-31	20:00
