review_no	user_no	movieno	comment
1	1	D1	액션은훌륭한데 스토리가 너무억지스럽네요..뜬금없이 사람을 죽이기만했던 고릴라가 하필 해독제가진 악역여자를 삼키고 다때려부시기전에 잘흥분했던 고릴라가해독제먹고 너무침착해지는것도 이상하고 마지막에 엔딩도..이해안갑니다 고릴라를 그냥 냅둘까요?
2	1	D2	이모 죽을 때도 안울던놈이... 
3	1	H1	어머니가 보자고해서 봤는데 나올때 나한테 미안하다고 하심. 
4	2	C1	볼만하네요. 더빙이 조금 아쉽지만 아이들은 그런거보다는 캐릭터에 집중하더라구요.
5	3	A1	마지막장면이 사이다였다....
6	3	C2	이 영화를 영화관에서 직접 보지 못한 것을 평생 후회할 것 같다. 보는 내내 감탄을 자아냈고 절대 잊지 못할 여운으로 남을 것이다.
7	3	F1	한국말 나올때 관객들 다뿜음 ㅋㅋㅋ
8	4	A2	물흐르는 소리날 때 팝콘 개빨리 다먹었음 
9	4	D2	IOI가 한국인을 고용했다면 에그따위 5일이면 충분했을것..
10	5	C3	너무 기대했던 영화라 조조로 바로 보고 왔는데 완전 대만족!! 사랑하고 싶게 만드는 봄에 딱 맞는 영화인듯
11	5	D1	그냥 그저그랬음 그저그럼 
12	5	D3	개봉하자마자 첫상영으로 보고왔습니다딱한줄로 요약한다면 망작 입니다ㅎ1편에 레전드였다는걸 깨달게될것입니다 
13	6	C3	오랜만에 만나는 정통 로맨스 영화....보는 내내 웃펐다. 그렇지만 여운도 오래 남는다....
14	6	D2	처음 20분은 정말 새롭고 혁신적인 스타일의 영화가 나타났다했는데 갈수록 용두사미. 결말은 80년대 스필버그 영화의 훈훈한 마무리로 추억의 미드처럼 매우 뻔하고 허무 
15	6	M1	7년 같았던 2시간..
16	7	A1	뒷사람이 팝콘 나한테 좀 쏟은건 괜찮았는데 좀있다 미안했는지 목덜미쪽 손으로 털어줄때 진심 기절하는줄알았네 ㅡㅡ
17	7	C1	화려한 영상, 볼거리 최고. 애들보여주러 갔다가 제가 재밌게 보고 왔어요 
18	7	F1	호불호 상당히 갈릴 영화 마블 영화 중에서도 가장 이질적인 느낌이였고 주인공 보다 악역이 매력적이였음 
19	8	A2	누구인가? 누가 기침소리를 내었어?
20	8	C2	이 영화를 3D로 못본 게 너무도 아쉽다. 몽환적인 연출에 감탄함. 스토리도 정말 영화 같음.
21	8	D3	3편 정말 기대되는 영화 마지막 대사 한마디로 기대감 개상승 2편은 1편과 3편의 연결고리인듯 솔직히 이런 영화에서 복잡한 개연성 스토리 찾을라고 하지마라 ㅈ문가들아 다큐영화나 쳐 보던가 뭐든지 까야 있어보이지?? 그냥 생각없이 보셈 재밌음 무조건
22	9	C3	참지마...눈물이 흐를땐 그냥 눈물을 흘려도 돼.
23	9	D1	이거 또보고 싶은 영화입니다 너무 재미있었어요 
24	9	D2	스필버그 감독의 작품을 왜 좋아했는지 다시 깨닫게 되는 수작
25	10	A1	그렇게 무섭지 않습니다. 언플 장난 아니네요... 그런데 이상하게 영화보고 나올때 보니 바지가 젖어있더라고요^^
26	10	F1	기대가 너무 컸나 봄... 
27	10	H1	코믹인데 너무 웃기지도 않고 제목 그대로 다 바람피는거임.. 심심풀이 외도라서 연인이나 부부와 같이 보면 득될것도 없고. 요즘 티비 영화 같은 드라마가 훨 재밌음.. 돈 너무 아까웠음 
